"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA","","","","","","",""
"DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR","","","","","","",""
"DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2022","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA EN ENERGIA Y EFICIENCIA ENERGETICA","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA EN GESTION AMBIENTAL","9","4","13"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN GESTIÓN DE BASES DE DATOS","0","0","0"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN GESTIÓN DE BASES DE DATOS","0","0","0"
"ESCUELA ESPECIALIZADA EN INGENIERIA ITCA-FEPADE, REGIONAL LA UNION","PÚBLICO","La Unión","INGENIERÍA","INGENIERIA EN LOGISTICA Y ADUANAS","34","21","55"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA EN LOGISTICA Y DISTRIBUCION","12","16","28"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA EN MANEJO Y GESTION DE BASES DE DATOS","0","0","0"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","INGENIERÍA","INGENIERIA EN SISTEMAS COMPUTACIONALES","6","20","26"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN SISTEMAS COMPUTACIONALES","7","25","32"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","INGENIERÍA","INGENIERIA EN SISTEMAS INFORMATICOS","8","13","21"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA EN SISTEMAS INFORMATICOS","8","19","27"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA EN SISTEMAS INFORMÁTICOS","4","35","39"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA EN SISTEMAS INFORMATICOS- EN LINEA","0","1","1"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL CHALATENANGO","PRIVADO","Chalatenango","INGENIERÍA","INGENIERIA EN SISTEMAS Y COMPUTACION","4","27","31"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN SISTEMAS Y COMPUTACION","0","0","0"
"UNIVERSIDAD DOCTOR ANDRES BELLO","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN SISTEMAS Y COMPUTACIÓN","0","0","0"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","INGENIERÍA","INGENIERÍA EN SISTEMAS Y COMPUTACIÓN","0","0","0"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SONSONATE","PRIVADO","Sonsonate","INGENIERÍA","INGENIERÍA EN SISTEMAS Y COMPUTACIÓN","0","0","0"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN SISTEMAS Y COMPUTACIÓN","31","218","249"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA EN SISTEMAS Y COMPUTACIÓN NO PRESENCIAL","8","35","43"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS, REGIONAL USULUTAN","PRIVADO","Usulutan","INGENIERÍA","INGENIERIA EN SISTEMAS Y REDES INFORMATICAS","5","33","38"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","INGENIERÍA","INGENIERÍA EN SISTEMAS Y REDES INFORMÁTICAS","14","76","90"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","INGENIERÍA","INGENIERÍA EN SISTEMAS Y REDES INFORMÁTICAS","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA EN TECNOLOGÍA Y PROCESAMIENTO DE ALIMENTOS","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","INGENIERÍA","INGENIERIA EN TECNOLOGIA Y PROCESAMIENTO DE ALIMENTOS- SEMIPRESENCIAL","12","8","20"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN TELECOMUNICACIONES","12","1","13"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN TELECOMUNICACIONES","15","1","16"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA EN TELECOMUNICACIONES Y REDES","1","10","11"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA ENERGETICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERÍA GEOLÓGICA","0","0","0"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA INDUSTRIAL","4","0","4"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA INDUSTRIAL","13","37","50"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA INDUSTRIAL","47","44","91"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","INGENIERÍA","INGENIERIA INDUSTRIAL","55","19","74"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","INGENIERÍA","INGENIERIA INDUSTRIAL","0","0","0"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","INGENIERÍA","INGENIERIA INDUSTRIAL","32","46","78"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA INDUSTRIAL","18","15","33"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA INDUSTRIAL","23","44","67"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA INDUSTRIAL","60","26","86"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","INGENIERÍA","INGENIERIA INDUSTRIAL","6","5","11"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA INDUSTRIAL","0","0","0"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA INDUSTRIAL","8","24","32"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA INDUSTRIAL","47","151","198"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA INDUSTRIAL","30","61","91"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA INDUSTRIAL","20","44","64"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERÍA INDUSTRIAL","5","6","11"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA INDUSTRIAL","0","0","0"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA INDUSTRIAL - SEMIPRESENCIAL","6","12","18"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA INDUSTRIAL CON ENFASIS EN IDIOMA INGLES","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA INDUSTRIAL- EN LINEA","1","1","2"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERÍA INDUSTRIAL-NO PRESENCIAL","11","38","49"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERÍA INFORMÁTICA","9","49","58"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA MECANICA","3","2","5"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA MECANICA","6","23","29"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","INGENIERÍA","INGENIERIA MECANICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","INGENIERÍA","INGENIERIA MECANICA","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA MECANICA","1","7","8"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA MECANICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA MECANICA","3","33","36"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA MECÁNICA","0","0","0"
"ESCUELA ESPECIALIZADA EN INGENIERIA ITCA-FEPADE","PÚBLICO","La Libertad","INGENIERÍA","INGENIERIA MECATRONICA","5","56","61"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA MECATRONICA","4","32","36"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA QUIMICA","26","21","47"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","INGENIERÍA","INGENIERIA QUIMICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA QUIMICA","16","34","50"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA QUÍMICA","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA  EN SISTEMAS DE COMPUTACION ADMINISTRATIVA","8","4","12"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL CHALATENANGO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN  TRABAJO SOCIAL","21","2","23"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN  TRABAJO SOCIAL","26","5","31"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","0","1","1"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","52","38","90"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","0","0","0"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS, REGIONAL USULUTAN","PRIVADO","Usulutan","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","25","14","39"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","82","52","134"
"UNIVERSIDAD CRISTIANA DE LAS ASAMBLEAS DE DIOS","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","3","1","4"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","26","34","60"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","2","20","22"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","30","20","50"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","50","23","73"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","28","12","40"
"UNIVERSIDAD DOCTOR ANDRES BELLO","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","37","14","51"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL CHALATENANGO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","27","19","46"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","8","4","12"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","7","5","12"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","33","23","56"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","27","27","54"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","9","10","19"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","39","59","98"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","1","2","3"
"UNIVERSIDAD LUTERANA SALVADOREÑA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","25","10","35"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","12","22","34"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","2","2","4"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","15","12","27"
"UNIVERSIDAD MONSEÑOR OSCAR ARNULFO ROMERO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","12","5","17"
"UNIVERSIDAD NUEVA SAN SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","3","4","7"
"UNIVERSIDAD PANAMERICANA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","2","11","13"
"UNIVERSIDAD PANAMERICANA, REGIONAL AHUACHAPAN","PRIVADO","Ahuachapán","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","25","16","41"
"UNIVERSIDAD PANAMERICANA, REGIONAL SAN VICENTE","PRIVADO","San Vicente","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","18","9","27"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","13","4","17"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","6","2","8"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","1","2","3"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","159","101","260"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS","149","83","232"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","14","15","29"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","12","5","17"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","0","0","0"
"UNIVERSIDAD LUTERANA SALVADOREÑA, REGIONAL CABAÑAS","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","12","2","14"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS","2","1","3"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN COMPUTACION","12","23","35"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS CON ÉNFASIS EN COMPUTACIÓN-NO PRESENCIAL","5","6","11"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS CON ÉNFASIS EN IDIOMA INGLÉS","27","24","51"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS NO PRESENCIAL","50","31","81"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS -NO PRESENCIAL","9","6","15"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS -NO PRESENCIAL","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS- SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS TURISTICAS","5","24","29"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS TURISTICAS","0","4","4"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS TURISTICAS","86","21","107"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS","29","10","39"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS, REGIONAL USULUTAN","PRIVADO","Usulutan","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS","9","0","9"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACION DE EMPRESAS TURISTICAS CON ENFASIS EN IDIOMA INGLES","0","0","0"
"INSTITUTO ESPECIALIZADO DE NIVEL SUPERIOR ""ESCUELA MILITAR CAPITÁN GENERAL GERARDO BARRIOS""","PÚBLICO","La Libertad","LICENCIATURA","LICENCIATURA EN ADMINISTRACION MILITAR","7","77","84"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN ANESTESIOLOGIA E INHALOTERAPIA","11","8","19"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ANIMACION DIGITAL Y VIDEOJUEGOS","17","7","24"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ANTROPOLOGIA","1","2","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ANTROPOLOGIA SOCIOCULTURAL","7","1","8"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN ARQUEOLOGIA","3","2","5"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ARTES PLASTICAS","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ARTES PLÁSTICAS, OPCIÓN CERÁMICA","7","5","12"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ARTES PLÁSTICAS, OPCIÓN DISEÑO GRÁFICO","27","29","56"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ARTES PLÁSTICAS, OPCIÓN ESCULTURA","5","4","9"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN ARTES PLÁSTICAS, OPCIÓN PINTURA","7","7","14"
"UNIVERSIDAD PANAMERICANA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN BIBLIOTECOLOGIA","1","2","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN BIBLIOTECONOMÍA Y GESTIÓN DE LA INFORMACIÓN","1","1","2"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN BIOLOGIA","16","12","28"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN BIOLOGIA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN BIOLOGIA","3","7","10"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACION","0","0","0"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACION","8","6","14"
"UNIVERSIDAD LUTERANA SALVADOREÑA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACION","16","21","37"
"UNIVERSIDAD MONSEÑOR OSCAR ARNULFO ROMERO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACION","7","10","17"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACION","5","10","15"
"UNIVERSIDAD LUTERANA SALVADOREÑA, REGIONAL CABAÑAS","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","6","6","12"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","0","0","0"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","0","0","0"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMUNICACION","5","14","19"
"UNIVERSIDAD CRISTIANA DE LAS ASAMBLEAS DE DIOS","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMUNICACION","3","3","6"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMUNICACION","71","49","120"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA COMUNICACION","73","34","107"
