"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2020","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2020 SINIEES","","","","","","","","","","","","",""
"Institución de Educación Superior","Departamento","Tipo de IES","Sector","Nivel Académico","Grado ","Carrera","Masculino","Femenino","Total","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN GASTRONOMIA","67","79","146","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN GASTRONOMIA","36","40","76","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","Santa Ana","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN GESTIÓN TECNOLÓGICA DEL PATRIMONIO CULTURAL","9","28","37","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN HARDWARE COMPUTACIONAL","31","1","32","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Paz","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN HARDWARE COMPUTACIONAL","21","9","30","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","Santa Ana","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN HARDWARE COMPUTACIONAL","0","0","0","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN HOSTELERIA Y TURISMO","18","46","64","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA CIVIL","24","15","39","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","San Miguel","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA CIVIL","19","9","28","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE REDES INFORMATICAS","24","8","32","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","San Miguel","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE REDES INFORMATICAS","7","8","15","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE REDES INFORMATICAS- SEMIPRESENCIAL","6","1","7","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE SISTEMAS INFORMATICOS","53","18","71","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Paz","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE SISTEMAS INFORMATICOS","35","37","72","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE SISTEMAS INFORMATICOS","20","5","25","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","San Miguel","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE SISTEMAS INFORMATICOS","20","16","36","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","Santa Ana","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE SISTEMAS INFORMATICOS","56","21","77","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA DE SISTEMAS INFORMATICOS - SEMIPRESENCIAL","14","4","18","","","",""
